category,brand,model,variant,width_cm,length_cm,height_cm,weight_kg,fragile,package_type,hazard_class,extra_package,extra_width_cm,extra_length_cm,extra_price_usd,extra_type,product_id,customer_id,basket_id,quantity,is_2d_only,height_cm_filled,volume_cm3,volume_to_weight_ratio,fragile_flag,requires_special_handling,extra_volume_cm3,shape_flag
Textile,SoftWear,Jeans 32x32, Grey 42,23.8,19.3,"6,6",0.537,False,glass_jar,Compressed_Gas-2,False,0.0,0.0,,,1022,1464,4647,2,False,6.6,3031.6440000000002,5645.519553072626,False,True,0.0,glass_jar
Book,Classic,Les Miserables,,25.8,15.1,"3,1",0.828,True,rigid_box,Corrosive-8,True,29.3,16.7,"11,84",air_cushion,1023,1196,4613,2,False,3.1,1207.698,1458.5724637681162,True,True,1516.861,rigid_box
Book,Classic,Madonna in a Fur Coat,,25.8,17.3,"2,4",0.387,False,kraft_envelope,Compressed_Gas-2,False,0.0,0.0,,,1024,1350,2589,2,False,2.4,1071.2160000000001,2768.0000000000005,False,True,0.0,kraft_envelope
Home Decor,HomeArt,Candle Set of 3,,28.0,23.8,"20,8",0.977,False,metal_box,UN3481-Lithium_Ion_Battery,True,31.3,27.0,"17,6",double_carton,1025,1132,4483,2,False,20.8,13861.12,14187.430910951894,False,True,17578.08,metal_box
Textile,SoftWear,Polar Jacket L, White,27.7,27.3,"7,9",0.483,False,glass_jar,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,1026,1357,4576,3,False,7.9,5974.059,12368.652173913044,False,True,0.0,glass_jar
Cosmetics,Lumine,Hyaluronic Acid Serum 30ml,,10.6,16.7,"12,7",0.378,False,metal_box,UN3481-Lithium_Ion_Battery,True,13.8,20.8,"10,54",corner_guard,1027,1258,3175,1,False,12.7,2248.1539999999995,5947.497354497354,False,True,3645.408,metal_box
Food Jar,Anadolu,Flower Honey 850g,,11.7,11.7,"18,0",1.794,False,cardboard_box,Compressed_Gas-2,False,0.0,0.0,,,1028,1436,4652,1,False,18.0,2464.0199999999995,1373.478260869565,False,True,0.0,cardboard_box
Food Jar,Anadolu,Flower Honey 850g,,11.5,11.7,"18,7",1.325,True,metal_box,Corrosive-8,False,0.0,0.0,,,1029,1022,4253,3,False,18.7,2516.0849999999996,1898.9320754716978,True,True,0.0,metal_box
Book,Classic,Les Miserables,,23.0,16.5,"2,9",0.664,False,poly_bag,Corrosive-8,False,0.0,0.0,,,1030,1484,2340,1,False,2.9,1100.55,1657.4548192771083,False,True,0.0,poly_bag
Appliance,Philips,Kettle,,41.5,20.0,"6,9",2.335,False,poly_bag,Compressed_Gas-2,True,44.9,23.7,"20,46",double_carton,1031,1052,2409,1,False,6.9,5727.0,2452.6766595289077,False,True,7342.496999999999,poly_bag
Shoes,Nike,Air Zoom Pegasus, Grey,33.4,25.0,"14,2",1.508,False,kraft_envelope,,False,0.0,0.0,,,1032,1164,3209,3,False,14.2,11857.0,7862.732095490716,False,False,0.0,kraft_envelope
Appliance,Philips,Handheld Vacuum,,29.9,22.7,"9,4",2.344,False,metal_box,UN3481-Lithium_Ion_Battery,True,33.0,26.6,"18,62",foam_protector,1033,1201,2572,1,False,9.4,6380.061999999999,2721.8694539249145,False,True,8251.320000000002,metal_box
Laptop,Dell,XPS 13,,31.6,17.8,"2,4",1.783,False,glass_jar,Compressed_Gas-2,True,35.0,21.4,"16,87",bubble_wrap,1034,1457,4351,1,False,2.4,1349.952,757.1239484015704,False,True,1797.6,glass_jar
Laptop,Dell,XPS 13, 512GB Silver,34.6,27.0,"2,0",1.838,True,metal_box,UN3481-Lithium_Ion_Battery,True,39.0,31.6,"23,08",stretch_film,1035,1082,4657,3,False,2.0,1868.4,1016.5397170837867,True,True,2464.8,metal_box
Toy,ToyLand,Plush Bear 50cm,,27.7,21.1,"22,2",0.982,False,cardboard_box,Aerosol-2,True,29.5,22.4,"14,41",foam_protector,1036,1144,4092,1,False,22.2,12975.234,13213.069246435845,False,True,14669.759999999998,cardboard_box
Book,Classic,The Metamorphosis,,26.6,17.0,"1,9",0.998,False,rigid_box,Corrosive-8,True,31.2,21.6,"15,48",bubble_wrap,1037,1084,4663,2,False,1.9,859.1800000000001,860.9018036072144,False,True,1280.448,rigid_box
Shoes,Adidas,Grand Court, Black 41,28.6,22.8,"12,9",1.153,False,rigid_box,Aerosol-2,True,30.5,25.8,"17,21",stretch_film,1038,1077,4667,3,False,12.9,8411.832,7295.604509973981,False,True,10151.01,rigid_box
Laptop,Lenovo,Yoga Slim 7,,35.6,22.5,"4,2",1.359,False,kraft_envelope,UN3481-Lithium_Ion_Battery,True,41.2,26.5,"21,35",double_carton,1039,1456,4394,1,False,4.2,3364.2000000000003,2475.496688741722,False,True,4585.560000000001,kraft_envelope
Shoes,Nike,Air Zoom Pegasus,,30.1,22.0,"10,5",1.103,False,plastic_box,Aerosol-2,False,0.0,0.0,,,1040,1365,3641,1,False,10.5,6953.1,6303.807796917498,False,True,0.0,plastic_box
Cosmetics,Lumine,Hyaluronic Acid Serum 30ml,,10.2,13.2,"11,0",0.467,False,rigid_box,Aerosol-2,False,0.0,0.0,,,1041,1000,4135,2,False,11.0,1481.04,3171.3918629550317,False,True,0.0,rigid_box
Textile,SoftWear,Basic T-Shirt M, Black 43,26.1,20.5,"6,1",0.422,False,kraft_envelope,Aerosol-2,False,0.0,0.0,,,1042,1050,2310,3,False,6.1,3263.8050000000003,7734.135071090049,False,True,0.0,kraft_envelope
Textile,SoftWear,Polar Jacket L,,30.6,24.8,"8,8",0.288,False,poly_bag,Flammable_Liquid-3,False,0.0,0.0,,,1043,1172,3967,3,False,8.8,6678.144000000001,23188.000000000007,False,True,0.0,poly_bag
Laptop,Dell,Inspiron 14, 128GB Silver,34.3,26.8,"3,5",0.964,False,rigid_box,Compressed_Gas-2,True,37.6,30.1,"21,48",stretch_film,1044,1204,4670,1,False,3.5,3217.3399999999997,3337.4896265560164,False,True,3961.16,rigid_box
Food Jar,Anadolu,Hazelnut Paste 320g,,11.7,11.0,"17,1",1.352,True,rigid_box,Aerosol-2,True,15.2,13.2,"8,67",air_cushion,1045,1259,2519,2,False,17.1,2200.77,1627.7884615384614,True,True,3430.944,rigid_box
Book,Classic,Madonna in a Fur Coat,,22.9,17.0,"3,4",0.593,False,rigid_box,Aerosol-2,False,0.0,0.0,,,1046,1445,2296,2,False,3.4,1323.62,2232.0741989881953,False,True,0.0,rigid_box
Textile,SoftWear,Basic T-Shirt M, Grey,26.3,26.0,"7,9",0.531,False,rigid_box,Corrosive-8,False,0.0,0.0,,,1047,1448,2909,2,False,7.9,5402.02,10173.295668549907,False,True,0.0,rigid_box
Textile,SoftWear,Basic T-Shirt M, Grey 43,33.5,17.8,"7,4",0.412,False,poly_bag,Corrosive-8,True,37.6,19.2,"17,1",corner_guard,1048,1368,3563,2,False,7.4,4412.620000000001,10710.242718446605,False,True,5342.208,poly_bag
Home Decor,HomeArt,Candle Set of 3,,30.7,30.3,"24,7",1.222,True,kraft_envelope,UN3481-Lithium_Ion_Battery,True,34.5,34.3,"23,68",air_cushion,1049,1487,4165,2,False,24.7,22976.187,18802.117021276597,True,True,29228.744999999995,kraft_envelope
Textile,SoftWear,Basic T-Shirt M, Black,32.2,19.8,"7,9",0.712,False,plastic_box,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,1050,1287,3869,2,False,7.9,5036.724000000001,7074.050561797754,False,True,0.0,plastic_box
Textile,SoftWear,Jeans 32x32,,32.6,21.4,"6,3",0.457,False,rigid_box,Flammable_Liquid-3,False,0.0,0.0,,,1051,1033,4677,3,False,6.3,4395.132,9617.356673960612,False,True,0.0,rigid_box
Toy,ToyLand,Plush Bear 50cm,,23.9,17.6,"26,2",1.444,False,rigid_box,Compressed_Gas-2,False,0.0,0.0,,,1052,1347,3135,1,False,26.2,11020.768,7632.1108033241,False,True,0.0,rigid_box
Shoes,Adidas,Superstar, Black,28.5,19.4,"11,5",0.82,False,plastic_box,Compressed_Gas-2,False,0.0,0.0,,,1053,1094,3800,1,False,11.5,6358.349999999999,7754.085365853658,False,True,0.0,plastic_box
Textile,SoftWear,Polar Jacket L, White,27.6,19.3,"5,9",0.474,False,poly_bag,Aerosol-2,False,0.0,0.0,,,1054,1071,2035,2,False,5.9,3142.8120000000004,6630.40506329114,False,True,0.0,poly_bag
Shoes,Adidas,Duramo, 38,33.0,22.3,"11,9",1.093,False,poly_bag,,True,34.8,25.1,"18,91",corner_guard,1055,1038,3501,3,False,11.9,8757.21,8012.086001829825,False,True,10394.412,poly_bag
Phone,Apple,iPhone 14, 256GB Silver,19.3,8.4,"5,3",0.46,True,cardboard_box,UN3481-Lithium_Ion_Battery,True,21.3,12.6,"8,55",double_carton,1056,1153,4198,3,False,5.3,859.236,1867.904347826087,True,True,1422.414,cardboard_box
Book,Classic,The Metamorphosis,,21.0,17.7,"3,4",0.726,False,cardboard_box,Flammable_Liquid-3,False,0.0,0.0,,,1057,1249,4260,2,False,3.4,1263.78,1740.7438016528927,False,True,0.0,cardboard_box
Shoes,Adidas,Grand Court, Red,38.2,22.4,"8,9",0.69,False,metal_box,Aerosol-2,True,41.9,25.8,"20,8",bubble_wrap,1058,1161,2568,1,False,8.9,7615.552000000001,11037.031884057973,False,True,9621.078,metal_box
Home Decor,HomeArt,Glass Vase Medium,,24.8,21.0,"14,4",1.734,True,kraft_envelope,UN3481-Lithium_Ion_Battery,True,27.9,24.1,"14,59",air_cushion,1059,1437,3727,2,False,14.4,7499.520000000001,4324.982698961939,True,True,9682.416,kraft_envelope
Phone,Apple,iPhone 13,,17.0,7.6,"6,5",0.476,True,glass_jar,Compressed_Gas-2,True,20.6,9.0,"7,68",air_cushion,1060,1117,4161,3,False,6.5,839.8,1764.2857142857142,True,True,1205.1000000000001,glass_jar
Toy,ToyLand,Wooden Block Set 60 pcs,,19.2,18.6,"15,3",0.818,False,glass_jar,Flammable_Liquid-3,False,0.0,0.0,,,1061,1258,3178,2,False,15.3,5463.936000000001,6679.628361858192,False,True,0.0,glass_jar
Book,Classic,Crime and Punishment,,22.5,15.7,"3,6",0.831,True,cardboard_box,,False,0.0,0.0,,,1062,1378,2789,1,False,3.6,1271.7,1530.3249097472926,True,False,0.0,cardboard_box
Shoes,Nike,Court Vision, Grey,31.2,24.1,"12,3",0.857,False,metal_box,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,1063,1305,3940,1,False,12.3,9248.616000000002,10791.850641773632,False,True,0.0,metal_box
Toy,ToyLand,Plush Bear 50cm,,21.8,20.9,"23,2",0.853,False,kraft_envelope,,False,0.0,0.0,,,1064,1267,2836,3,False,23.2,10570.384,12392.00937866354,False,False,0.0,kraft_envelope
Phone,Apple,iPhone 13, 256GB Starlight,18.6,5.4,"5,6",0.318,True,metal_box,Corrosive-8,True,20.3,8.5,"7,76",double_carton,1065,1448,2908,2,False,5.6,562.464,1768.7547169811323,True,True,966.28,metal_box
Laptop,Dell,XPS 13,,35.9,20.9,"2,5",1.675,True,plastic_box,UN3481-Lithium_Ion_Battery,True,38.0,24.9,"19,88",bubble_wrap,1066,1053,2504,2,False,2.5,1875.7749999999999,1119.8656716417909,True,True,2365.5,plastic_box
Food Jar,Anadolu,Flower Honey 850g,,8.8,12.2,"14,6",1.435,True,poly_bag,Corrosive-8,True,12.2,15.6,"7,89",air_cushion,1067,1235,2219,3,False,14.6,1567.456,1092.303832752613,True,True,2778.672,poly_bag
Toy,ToyLand,Remote Control Car,,27.2,17.8,"12,6",1.184,True,poly_bag,UN3481-Lithium_Ion_Battery,True,29.3,19.0,"12,85",corner_guard,1068,1388,4680,2,False,12.6,6100.416,5152.378378378378,True,True,7014.42,poly_bag
Toy,ToyLand,Wooden Block Set 60 pcs,,24.2,19.7,"18,7",1.1,False,glass_jar,Aerosol-2,False,0.0,0.0,,,1069,1477,3527,3,False,18.7,8915.037999999999,8104.579999999998,False,True,0.0,glass_jar
Appliance,Philips,Air Fryer XL,,32.0,26.9,"9,5",2.867,False,poly_bag,Aerosol-2,False,0.0,0.0,,,1070,1221,3020,2,False,9.5,8177.599999999999,2852.3194977328217,False,True,0.0,poly_bag
Book,Classic,Les Miserables,,26.8,20.6,"3,6",1.091,True,glass_jar,Aerosol-2,True,30.1,23.1,"16,09",stretch_film,1071,1250,4617,1,False,3.6,1987.4880000000003,1821.7121906507793,True,True,2503.1160000000004,glass_jar
Phone,Apple,iPhone 15 Plus,,19.8,7.8,"5,2",0.616,False,poly_bag,Flammable_Liquid-3,False,0.0,0.0,,,1072,1312,3964,3,False,5.2,803.088,1303.7142857142858,False,True,0.0,poly_bag
Phone,Samsung,Galaxy A34,,16.8,9.4,"4,9",0.374,False,metal_box,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,1073,1400,3365,2,False,4.9,773.8080000000001,2069.0053475935833,False,True,0.0,metal_box
Cosmetics,Lumine,Hyaluronic Acid Serum 30ml,,12.2,9.8,"8,8",0.288,False,rigid_box,Flammable_Liquid-3,True,15.9,14.3,"7,91",double_carton,1074,1111,3547,2,False,8.8,1052.1280000000002,3653.222222222223,False,True,2000.8560000000002,rigid_box
Book,Classic,Crime and Punishment,,26.8,14.1,"3,0",0.731,False,poly_bag,Compressed_Gas-2,False,0.0,0.0,,,1075,1254,2941,2,False,3.0,1133.6399999999999,1550.8071135430914,False,True,0.0,poly_bag
Appliance,Philips,Kettle,,35.9,32.5,"9,5",1.381,True,kraft_envelope,Aerosol-2,True,38.2,33.9,"23,92",double_carton,1076,1302,4563,3,False,9.5,11084.125,8026.158580738595,True,True,12302.31,kraft_envelope
Textile,SoftWear,Jeans 32x32, Black,31.2,23.7,"2,8",0.18,False,metal_box,Aerosol-2,False,0.0,0.0,,,1077,1406,2857,1,False,2.8,2070.432,11502.4,False,True,0.0,metal_box
Home Decor,HomeArt,Glass Vase Medium,,25.1,31.0,"25,5",0.408,False,rigid_box,Flammable_Liquid-3,False,0.0,0.0,,,1078,1206,2969,2,False,25.5,19841.55,48631.25,False,True,0.0,rigid_box
Appliance,Philips,Handheld Vacuum,,41.4,28.1,"9,1",1.58,False,rigid_box,UN3481-Lithium_Ion_Battery,True,44.6,31.0,"26,62",bubble_wrap,1079,1228,4114,3,False,9.1,10586.393999999998,6700.249367088606,False,True,12581.66,rigid_box
Shoes,Adidas,Superstar, 37,31.3,22.4,"10,5",0.471,False,rigid_box,Corrosive-8,True,34.7,24.5,"19,16",air_cushion,1080,1340,4238,2,False,10.5,7361.76,15630.063694267517,False,True,8926.575,rigid_box
Food Jar,Anadolu,Pine Honey 1kg,,9.5,11.9,"20,8",1.497,True,glass_jar,Corrosive-8,True,13.4,14.8,"7,47",corner_guard,1081,1397,2943,1,False,20.8,2351.44,1570.7682030728122,True,True,4125.0560000000005,glass_jar
Cosmetics,Lumine,Hyaluronic Acid Serum 30ml,,10.4,13.1,"9,0",0.63,True,poly_bag,Compressed_Gas-2,False,0.0,0.0,,,1082,1065,3088,1,False,9.0,1226.16,1946.2857142857144,True,True,0.0,poly_bag
Book,Classic,Madonna in a Fur Coat,,23.0,15.8,"2,3",0.531,False,poly_bag,Flammable_Liquid-3,False,0.0,0.0,,,1083,1074,3608,1,False,2.3,835.82,1574.0489642184557,False,True,0.0,poly_bag
Textile,SoftWear,Jeans 32x32, Grey 36,29.6,18.6,"6,4",0.291,False,glass_jar,UN3481-Lithium_Ion_Battery,True,31.7,24.1,"17,51",air_cushion,1084,1434,4206,3,False,6.4,3523.5840000000007,12108.53608247423,False,True,4889.408,glass_jar
Home Decor,HomeArt,Metal Frame 20x30,,32.9,18.9,"12,3",0.821,False,rigid_box,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,1085,1102,2001,2,False,12.3,7648.263,9315.78928136419,False,True,0.0,rigid_box
Cosmetics,Lumine,Night Cream 50ml,,13.9,10.6,"13,3",0.218,False,glass_jar,Aerosol-2,True,17.4,14.7,"8,83",bubble_wrap,1086,1421,3617,3,False,13.3,1959.622,8989.091743119267,False,True,3401.874,glass_jar
Toy,ToyLand,Remote Control Car,,21.0,22.2,"19,1",1.259,True,metal_box,Compressed_Gas-2,True,24.3,25.7,"14,36",foam_protector,1087,1191,2170,2,False,19.1,8904.42,7072.613185067515,True,True,11928.141000000001,metal_box
Toy,ToyLand,Remote Control Car,,38.1,19.8,"18,7",0.938,False,poly_bag,,False,0.0,0.0,,,1088,1251,2616,3,False,18.7,14106.906,15039.345415778253,False,False,0.0,poly_bag
Toy,ToyLand,Wooden Block Set 60 pcs,,23.7,22.4,"21,4",0.822,False,rigid_box,Corrosive-8,True,26.5,25.8,"15,35",air_cushion,1089,1225,3739,2,False,21.4,11360.831999999999,13820.963503649635,False,True,14631.18,rigid_box
Food Jar,Anadolu,Tahini 500g,,10.7,11.8,"17,9",1.396,True,rigid_box,UN3481-Lithium_Ion_Battery,True,11.7,14.0,"8,47",corner_guard,1090,1293,2152,3,False,17.9,2260.054,1618.9498567335245,True,True,2932.0199999999995,rigid_box
Textile,SoftWear,Basic T-Shirt M, 36,29.2,24.3,"7,6",0.539,False,rigid_box,Aerosol-2,True,32.1,26.7,"19,11",double_carton,1091,1305,3937,2,False,7.6,5392.656,10004.927643784786,False,True,6513.732,rigid_box
Appliance,Philips,Kettle,,35.8,27.5,"10,8",1.075,False,plastic_box,Compressed_Gas-2,True,37.6,28.7,"21,1",air_cushion,1092,1097,3389,3,False,10.8,10632.6,9890.79069767442,False,True,11654.496000000003,plastic_box
Shoes,Nike,Court Vision, Black,32.7,17.9,"12,4",1.217,False,poly_bag,Flammable_Liquid-3,True,36.1,20.8,"15,76",air_cushion,1093,1337,2649,1,False,12.4,7258.092000000001,5963.921117502055,False,True,9310.912000000002,poly_bag
Appliance,Philips,Air Fryer XL,,35.7,23.8,"9,7",1.547,True,poly_bag,Flammable_Liquid-3,True,38.5,25.6,"19,62",air_cushion,1094,1285,3118,3,False,9.7,8241.702,5327.538461538461,True,True,9560.32,poly_bag
Textile,SoftWear,Jeans 32x32, Grey 40,37.6,22.1,"5,4",0.484,False,glass_jar,Flammable_Liquid-3,True,41.4,23.3,"20,32",corner_guard,1095,1334,4686,1,False,5.4,4487.184,9271.04132231405,False,True,5208.948,glass_jar
Food Jar,Anadolu,Flower Honey 850g,,13.9,11.9,"18,7",1.505,True,kraft_envelope,Corrosive-8,True,16.6,15.3,"9,47",double_carton,1096,1346,4692,1,False,18.7,3093.167,2055.260465116279,True,True,4749.426,kraft_envelope
Food Jar,Anadolu,Flower Honey 850g,,11.2,10.7,"16,8",1.425,False,poly_bag,Flammable_Liquid-3,True,13.3,13.9,"7,59",double_carton,1097,1434,4205,2,False,16.8,2013.312,1412.8505263157895,False,True,3105.8160000000003,poly_bag
Textile,SoftWear,Basic T-Shirt M, 42,28.0,24.3,"7,2",0.521,False,rigid_box,Corrosive-8,True,30.9,29.1,"18,45",foam_protector,1098,1446,4016,1,False,7.2,4898.88,9402.840690978886,False,True,6474.168000000001,rigid_box
Appliance,Philips,Air Fryer XL,,38.9,29.1,"10,4",1.311,False,glass_jar,Compressed_Gas-2,False,0.0,0.0,,,1099,1481,4698,1,False,10.4,11772.696,8979.935926773456,False,True,0.0,glass_jar
Home Decor,HomeArt,Glass Vase Medium,,34.9,19.7,"17,2",0.686,False,rigid_box,Aerosol-2,False,0.0,0.0,,,1100,1307,3467,2,False,17.2,11825.516,17238.361516034984,False,True,0.0,rigid_box
Textile,SoftWear,Hoodie L, Navy,29.5,21.9,"7,3",0.455,False,glass_jar,Corrosive-8,False,0.0,0.0,,,1101,1248,4378,3,False,7.3,4716.165,10365.197802197801,False,True,0.0,glass_jar
Home Decor,HomeArt,Metal Frame 20x30,,29.6,26.5,"23,1",1.446,False,metal_box,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,1102,1165,4705,3,False,23.1,18119.640000000003,12530.871369294608,False,True,0.0,metal_box
Shoes,Nike,Court Vision, 39,35.7,19.6,"9,9",0.939,False,glass_jar,UN3481-Lithium_Ion_Battery,True,39.9,22.9,"18,68",stretch_film,1103,1480,3753,1,False,9.9,6927.228000000002,7377.239616613421,False,True,9045.729,glass_jar
Textile,SoftWear,Basic T-Shirt M,,21.5,20.9,"7,3",0.349,False,poly_bag,UN3481-Lithium_Ion_Battery,False,0.0,0.0,,,1104,1471,2740,3,False,7.3,3280.2549999999997,9399.01146131805,False,True,0.0,poly_bag
Textile,SoftWear,Basic T-Shirt M, White 40,26.9,18.1,"3,7",0.414,False,kraft_envelope,UN3481-Lithium_Ion_Battery,True,30.3,22.4,"14,81",foam_protector,1105,1334,4687,1,False,3.7,1801.493,4351.432367149759,False,True,2511.264,kraft_envelope
Cosmetics,Lumine,Day Cream 50ml,,11.4,11.0,"8,9",0.316,True,cardboard_box,Compressed_Gas-2,True,14.0,12.0,"7,99",corner_guard,1106,1029,4710,3,False,8.9,1116.0600000000002,3531.835443037975,True,True,1495.2,cardboard_box
Phone,Samsung,Galaxy A34, 128GB Starlight,14.0,11.2,"2,7",0.409,False,glass_jar,Aerosol-2,False,0.0,0.0,,,1107,1246,3332,3,False,2.7,423.35999999999996,1035.1100244498778,False,True,0.0,glass_jar
Toy,ToyLand,Plush Bear 50cm,,30.7,20.7,"13,9",1.076,True,glass_jar,Flammable_Liquid-3,True,33.6,24.8,"17,84",stretch_film,1108,1105,2507,3,False,13.9,8833.311,8209.396840148698,True,True,11582.592000000002,glass_jar
Textile,SoftWear,Polar Jacket L, Red 42,28.4,18.9,"5,0",0.333,False,rigid_box,Flammable_Liquid-3,True,30.9,21.6,"14,51",double_carton,1109,1050,2305,1,False,5.0,2683.7999999999993,8059.459459459456,False,True,3337.2000000000003,rigid_box
Home Decor,HomeArt,Glass Vase Medium,,31.3,28.9,"18,6",0.892,True,rigid_box,Aerosol-2,True,35.0,32.2,"22,54",double_carton,1110,1080,2472,2,False,18.6,16825.002,18862.10986547085,True,True,20962.2,rigid_box
Shoes,Nike,Air Zoom Pegasus, Grey 40,26.9,18.5,"10,1",1.272,False,poly_bag,Corrosive-8,True,28.4,21.6,"13,7",bubble_wrap,1111,1132,4482,3,False,10.1,5026.264999999999,3951.466194968553,False,True,6195.744000000001,poly_bag
Phone,Samsung,Galaxy S24, 256GB Silver,16.9,9.6,"5,2",0.356,False,plastic_box,Compressed_Gas-2,False,0.0,0.0,,,1112,1284,4217,3,False,5.2,843.6479999999999,2369.7977528089887,False,True,0.0,plastic_box
Appliance,Philips,Air Fryer XL,,35.4,21.2,"7,7",2.438,False,kraft_envelope,Flammable_Liquid-3,False,0.0,0.0,,,1113,1387,2367,3,False,7.7,5778.695999999999,2370.260869565217,False,True,0.0,kraft_envelope
Shoes,Adidas,Grand Court, Red 41,33.5,21.4,"13,4",1.547,False,cardboard_box,Compressed_Gas-2,True,38.0,24.6,"18,8",bubble_wrap,1114,1137,4714,1,False,13.4,9606.46,6209.734970911441,False,True,12526.320000000002,cardboard_box
Phone,Samsung,Galaxy S23, 128GB Starlight,13.2,8.6,"4,1",0.59,False,cardboard_box,Corrosive-8,False,0.0,0.0,,,1115,1183,3357,2,False,4.1,465.43199999999996,788.8677966101694,False,True,0.0,cardboard_box
Cosmetics,Lumine,Hyaluronic Acid Serum 30ml,,12.4,6.5,"11,3",0.392,False,glass_jar,Flammable_Liquid-3,False,0.0,0.0,,,1116,1400,3364,1,False,11.3,910.7800000000002,2323.4183673469392,False,True,0.0,glass_jar
Food Jar,Anadolu,Hazelnut Paste 320g,,9.5,11.1,"16,6",1.349,True,cardboard_box,UN3481-Lithium_Ion_Battery,True,11.7,13.1,"7,97",stretch_film,1117,1329,4306,3,False,16.6,1750.4700000000003,1297.605633802817,True,True,2544.2819999999997,cardboard_box
Shoes,Nike,Downshifter,,33.3,24.0,"8,1",1.142,False,cardboard_box,Aerosol-2,False,0.0,0.0,,,1118,1272,3911,1,False,8.1,6473.5199999999995,5668.581436077058,False,True,0.0,cardboard_box
Cosmetics,Lumine,Day Cream 50ml,,12.2,13.2,"10,3",0.452,False,rigid_box,Flammable_Liquid-3,True,15.6,19.0,"8,95",corner_guard,1119,1339,2417,3,False,10.3,1658.712,3669.716814159292,False,True,3052.92,rigid_box
Cosmetics,Lumine,Day Cream 50ml,,11.6,13.4,"10,2",0.391,True,poly_bag,UN3481-Lithium_Ion_Battery,True,13.3,15.9,"8,34",air_cushion,1120,1471,2743,3,False,10.2,1585.4879999999998,4054.95652173913,True,True,2156.994,poly_bag
Phone,Samsung,Galaxy S23,,16.2,10.3,"6,1",0.363,True,kraft_envelope,Aerosol-2,False,0.0,0.0,,,1121,1068,4176,1,False,6.1,1017.846,2803.9834710743803,True,True,0.0,kraft_envelope
Cosmetics,Lumine,Hyaluronic Acid Serum 30ml,,12.2,10.1,"8,3",0.492,False,kraft_envelope,Compressed_Gas-2,False,0.0,0.0,,,1122,1033,4675,3,False,8.3,1022.726,2078.711382113821,False,True,0.0,kraft_envelope
Cosmetics,Lumine,Day Cream 50ml,,15.3,12.5,"7,3",0.146,False,poly_bag,Compressed_Gas-2,False,0.0,0.0,,,1123,1261,4050,3,False,7.3,1396.125,9562.5,False,True,0.0,poly_bag
Phone,Apple,iPhone 13, 128GB Black,19.2,8.2,"5,2",0.468,False,rigid_box,UN3481-Lithium_Ion_Battery,True,23.4,10.5,"8,2",double_carton,1124,1052,2407,2,False,5.2,818.6879999999999,1749.333333333333,False,True,1277.6399999999999,rigid_box
Book,Classic,Madonna in a Fur Coat,,23.7,15.7,"3,0",0.917,False,poly_bag,Corrosive-8,True,27.3,19.3,"12,4",double_carton,1125,1449,3878,1,False,3.0,1116.27,1217.3064340239912,False,True,1580.67,poly_bag
Food Jar,Anadolu,Pine Honey 1kg,,10.3,13.5,"18,7",1.111,True,rigid_box,UN3481-Lithium_Ion_Battery,True,12.4,15.8,"7,58",foam_protector,1126,1204,4669,1,False,18.7,2600.235,2340.4455445544554,True,True,3663.704,rigid_box
Textile,SoftWear,Basic T-Shirt M, White 39,26.6,26.0,"5,4",0.626,False,cardboard_box,Aerosol-2,True,30.4,28.3,"17,99",foam_protector,1127,1125,3318,3,False,5.4,3734.6400000000003,5965.878594249201,False,True,4645.728,cardboard_box
Toy,ToyLand,Wooden Block Set 60 pcs,,26.8,27.2,"16,3",0.448,False,plastic_box,Corrosive-8,False,0.0,0.0,,,1128,1234,4494,3,False,16.3,11882.048,26522.428571428572,False,True,0.0,plastic_box
Appliance,Philips,Handheld Vacuum,,37.6,27.5,"7,3",2.366,False,plastic_box,Compressed_Gas-2,True,41.0,30.5,"25,38",foam_protector,1129,1042,4309,1,False,7.3,7548.2,3190.278951817413,False,True,9128.65,plastic_box
Appliance,Philips,Air Fryer XL,,37.9,28.6,"12,0",0.547,False,poly_bag,Aerosol-2,True,41.1,31.4,"24,75",stretch_film,1130,1239,3399,1,False,12.0,13007.28,23779.305301645338,False,True,15486.48,poly_bag
Food Jar,Anadolu,Flower Honey 850g,,11.8,12.0,"17,9",1.278,False,metal_box,Flammable_Liquid-3,False,0.0,0.0,,,1131,1458,2074,1,False,17.9,2534.6400000000003,1983.286384976526,False,True,0.0,metal_box
Textile,SoftWear,Hoodie L, Red 36,28.2,21.9,"5,3",0.516,False,cardboard_box,Flammable_Liquid-3,False,0.0,0.0,,,1132,1370,3686,3,False,5.3,3273.1739999999995,6343.360465116278,False,True,0.0,cardboard_box
Home Decor,HomeArt,Glass Vase Medium,,37.2,26.6,"16,9",1.045,True,rigid_box,Aerosol-2,True,42.1,28.8,"23,19",air_cushion,1133,1110,4718,2,False,16.9,16722.888,16002.763636363636,True,True,20490.912,rigid_box
Toy,ToyLand,Wooden Block Set 60 pcs,,27.3,19.4,"15,8",0.083,False,rigid_box,Compressed_Gas-2,False,0.0,0.0,,,1134,1248,4380,2,False,15.8,8367.996000000001,100819.22891566265,False,True,0.0,rigid_box
