sku,width_mm,length_mm,height_mm,weight_g,fragile,packaging_type,hazmat_class,extra_pack,extra_pack_width_mm,extra_pack_length_mm,extra_pack_price_try,extra_pack_type
SKU-002742,290.0,206.0,134.0,1209.0,False,kavanoz,Corrosive-8,True,326.0,235.0,16.39,corner_guard
SKU-002743,159.0,97.0,65.0,369.0,False,zarf,Aerosol-2,False,,,,
SKU-002744,319.0,222.0,107.0,494.0,False,plastic_box,Aerosol-2,True,346.0,256.0,17.79,foam_protector
SKU-002745,292.0,219.0,107.0,1268.0,False,cardboard_box,Aerosol-2,False,,,,
SKU-002746,124.0,126.0,108.0,368.0,True,kutu,Aerosol-2,True,163.0,145.0,8.68,corner_guard
SKU-002747,122.0,90.0,109.0,459.0,True,cardboard_box,Flammable_Liquid-3,True,164.0,102.0,8.28,foam_protector
SKU-002748,312.0,217.0,119.0,1393.0,False,plastic_box,Flammable_Liquid-3,False,,,,
SKU-002749,305.0,256.0,50.0,364.0,False,plastic_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002750,235.0,344.0,217.0,1076.0,False,zarf,Flammable_Liquid-3,False,,,,
SKU-002751,252.0,206.0,45.0,345.0,False,plastic_box,Aerosol-2,False,,,,
SKU-002752,339.0,233.0,69.0,441.0,False,zarf,UN3481-Lithium_Ion_Battery,True,374.0,277.0,20.04,air_cushion
SKU-002753,354.0,265.0,42.0,1746.0,False,metal_box,Aerosol-2,True,388.0,304.0,23.3,stretch_film
SKU-002754,251.0,159.0,162.0,904.0,False,kutu,Corrosive-8,True,280.0,185.0,13.65,air_cushion
SKU-002755,323.0,211.0,119.0,909.0,False,plastic_box,Aerosol-2,True,340.0,248.0,19.05,double_carton
SKU-002756,106.0,114.0,112.0,296.0,True,metal_box,Compressed_Gas-2,True,142.0,134.0,7.78,stretch_film
SKU-002757,246.0,214.0,65.0,616.0,False,kutu,Flammable_Liquid-3,True,280.0,246.0,15.39,air_cushion
SKU-002758,230.0,194.0,58.0,402.0,False,metal_box,Flammable_Liquid-3,False,,,,
SKU-002759,343.0,211.0,134.0,1319.0,False,zarf,Aerosol-2,True,388.0,259.0,21.19,stretch_film
SKU-002760,289.0,252.0,96.0,254.0,False,poşet,Corrosive-8,False,,,,
SKU-002761,340.0,169.0,154.0,1221.0,False,kutu,Flammable_Liquid-3,True,372.0,191.0,16.16,bubble_wrap
SKU-002762,281.0,146.0,24.0,1074.0,False,poşet,Corrosive-8,True,298.0,189.0,13.4,double_carton
SKU-002763,273.0,209.0,106.0,731.0,False,poşet,Compressed_Gas-2,False,,,,
SKU-002764,169.0,96.0,31.0,440.0,True,plastic_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002765,330.0,213.0,95.0,1284.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-002766,332.0,207.0,166.0,1178.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-002767,341.0,210.0,125.0,1053.0,False,cardboard_box,Corrosive-8,True,386.0,260.0,21.01,double_carton
SKU-002768,392.0,215.0,86.0,1926.0,True,zarf,Compressed_Gas-2,True,438.0,255.0,22.24,air_cushion
SKU-002769,362.0,197.0,113.0,1257.0,False,zarf,Compressed_Gas-2,True,400.0,217.0,17.52,stretch_film
SKU-002770,165.0,63.0,42.0,457.0,True,metal_box,Flammable_Liquid-3,False,,,,
SKU-002771,216.0,260.0,156.0,1336.0,False,kutu,Aerosol-2,True,248.0,289.0,15.51,bubble_wrap
SKU-002772,369.0,195.0,122.0,317.0,False,zarf,Aerosol-2,True,400.0,227.0,18.92,foam_protector
SKU-002773,371.0,227.0,107.0,2280.0,True,plastic_box,Compressed_Gas-2,False,,,,
SKU-002774,183.0,116.0,49.0,425.0,True,kavanoz,Corrosive-8,True,211.0,146.0,11.49,air_cushion
SKU-002775,219.0,203.0,191.0,1064.0,False,zarf,Aerosol-2,False,,,,
SKU-002776,294.0,242.0,58.0,721.0,False,kutu,,False,,,,
SKU-002777,287.0,222.0,119.0,1179.0,False,plastic_box,Flammable_Liquid-3,True,325.0,235.0,16.28,double_carton
SKU-002778,277.0,304.0,172.0,653.0,False,plastic_box,,False,,,,
SKU-002779,254.0,254.0,230.0,358.0,False,kutu,Aerosol-2,True,282.0,284.0,16.51,bubble_wrap
SKU-002780,193.0,165.0,29.0,394.0,False,kutu,Flammable_Liquid-3,True,223.0,190.0,12.88,corner_guard
SKU-002781,153.0,112.0,59.0,262.0,True,cardboard_box,Aerosol-2,True,185.0,159.0,10.56,corner_guard
SKU-002782,239.0,200.0,29.0,740.0,True,kutu,Aerosol-2,True,277.0,233.0,14.51,double_carton
SKU-002783,130.0,92.0,59.0,346.0,False,poşet,Aerosol-2,False,,,,
SKU-002784,132.0,138.0,104.0,434.0,True,kavanoz,Flammable_Liquid-3,True,158.0,164.0,8.59,foam_protector
SKU-002785,409.0,303.0,25.0,1397.0,False,kavanoz,Flammable_Liquid-3,False,,,,
SKU-002786,105.0,92.0,44.0,197.0,True,zarf,Flammable_Liquid-3,False,,,,
SKU-002787,242.0,270.0,170.0,61.0,True,kavanoz,UN3481-Lithium_Ion_Battery,True,272.0,280.0,15.92,air_cushion
SKU-002788,232.0,241.0,134.0,529.0,False,plastic_box,Corrosive-8,False,,,,
SKU-002789,181.0,86.0,46.0,276.0,False,kavanoz,Aerosol-2,False,,,,
SKU-002790,324.0,234.0,122.0,1028.0,False,metal_box,Corrosive-8,False,,,,
SKU-002791,324.0,213.0,121.0,909.0,False,zarf,Compressed_Gas-2,False,,,,
SKU-002792,342.0,248.0,118.0,595.0,False,plastic_box,Corrosive-8,True,378.0,283.0,20.55,bubble_wrap
SKU-002793,310.0,204.0,112.0,1178.0,False,poşet,Aerosol-2,False,,,,
SKU-002794,260.0,160.0,27.0,688.0,False,kavanoz,Compressed_Gas-2,False,,,,
SKU-002795,340.0,206.0,39.0,1396.0,False,plastic_box,Compressed_Gas-2,True,361.0,231.0,17.01,stretch_film
SKU-002796,134.0,122.0,120.0,200.0,False,zarf,UN3481-Lithium_Ion_Battery,True,172.0,142.0,8.52,foam_protector
SKU-002797,125.0,105.0,107.0,589.0,False,cardboard_box,Compressed_Gas-2,False,,,,
SKU-002798,244.0,196.0,133.0,1212.0,False,kavanoz,Aerosol-2,True,264.0,224.0,13.54,bubble_wrap
SKU-002799,359.0,225.0,109.0,1930.0,False,plastic_box,UN3481-Lithium_Ion_Battery,True,385.0,235.0,18.07,foam_protector
SKU-002800,318.0,258.0,88.0,641.0,False,poşet,Aerosol-2,False,,,,
SKU-002801,321.0,182.0,134.0,586.0,False,zarf,UN3481-Lithium_Ion_Battery,True,366.0,196.0,15.26,corner_guard
SKU-002802,203.0,214.0,210.0,1239.0,True,kavanoz,Aerosol-2,True,225.0,230.0,12.26,bubble_wrap
SKU-002803,410.0,263.0,98.0,2215.0,False,zarf,Flammable_Liquid-3,True,426.0,284.0,23.23,stretch_film
SKU-002804,300.0,134.0,45.0,539.0,False,kavanoz,Aerosol-2,True,328.0,165.0,14.06,foam_protector
SKU-002805,109.0,98.0,69.0,442.0,False,kutu,Flammable_Liquid-3,False,,,,
SKU-002806,115.0,126.0,190.0,1085.0,False,plastic_box,Compressed_Gas-2,False,,,,
SKU-002807,203.0,158.0,15.0,689.0,False,zarf,UN3481-Lithium_Ion_Battery,True,242.0,196.0,12.52,double_carton
SKU-002808,306.0,242.0,243.0,793.0,False,kutu,Aerosol-2,False,,,,
SKU-002809,289.0,282.0,99.0,2312.0,True,kutu,Flammable_Liquid-3,True,330.0,307.0,19.7,double_carton
SKU-002810,95.0,133.0,93.0,556.0,False,plastic_box,Aerosol-2,False,,,,
SKU-002811,131.0,130.0,84.0,333.0,False,kavanoz,Aerosol-2,False,,,,
SKU-002812,311.0,208.0,116.0,992.0,False,kavanoz,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002813,321.0,199.0,101.0,1320.0,False,cardboard_box,Corrosive-8,True,338.0,218.0,15.55,stretch_film
SKU-002814,299.0,191.0,109.0,1509.0,False,poşet,Aerosol-2,True,322.0,236.0,16.31,double_carton
SKU-002815,292.0,245.0,66.0,745.0,False,poşet,Corrosive-8,False,,,,
SKU-002816,252.0,183.0,50.0,532.0,False,poşet,Corrosive-8,True,282.0,212.0,14.28,double_carton
SKU-002817,250.0,258.0,66.0,557.0,False,metal_box,Aerosol-2,True,267.0,285.0,16.76,foam_protector
SKU-002818,171.0,72.0,36.0,636.0,True,zarf,Corrosive-8,True,200.0,110.0,8.39,stretch_film
SKU-002819,297.0,230.0,45.0,311.0,False,kutu,Compressed_Gas-2,False,,,,
SKU-002820,338.0,206.0,129.0,992.0,False,kavanoz,Flammable_Liquid-3,False,,,,
SKU-002821,383.0,225.0,121.0,834.0,False,plastic_box,Aerosol-2,True,409.0,274.0,21.99,corner_guard
SKU-002822,254.0,214.0,181.0,718.0,False,kutu,Compressed_Gas-2,False,,,,
SKU-002823,190.0,109.0,48.0,467.0,False,plastic_box,UN3481-Lithium_Ion_Battery,True,214.0,141.0,10.25,stretch_film
SKU-002824,216.0,298.0,168.0,945.0,True,cardboard_box,UN3481-Lithium_Ion_Battery,True,239.0,328.0,16.85,foam_protector
SKU-002825,302.0,182.0,15.0,251.0,False,poşet,Aerosol-2,True,343.0,225.0,16.64,double_carton
SKU-002826,185.0,188.0,35.0,488.0,True,metal_box,Flammable_Liquid-3,True,217.0,223.0,12.59,stretch_film
SKU-002827,299.0,233.0,59.0,670.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-002828,318.0,213.0,60.0,528.0,False,poşet,Aerosol-2,True,357.0,264.0,19.14,corner_guard
SKU-002829,176.0,99.0,68.0,494.0,False,zarf,UN3481-Lithium_Ion_Battery,True,212.0,111.0,8.03,stretch_film
SKU-002830,158.0,91.0,44.0,300.0,False,metal_box,Aerosol-2,True,201.0,127.0,8.33,foam_protector
SKU-002831,269.0,168.0,33.0,993.0,False,cardboard_box,Flammable_Liquid-3,False,,,,
SKU-002832,106.0,111.0,186.0,1238.0,True,poşet,Flammable_Liquid-3,True,116.0,134.0,6.83,double_carton
SKU-002833,99.0,127.0,172.0,1424.0,True,poşet,UN3481-Lithium_Ion_Battery,True,133.0,158.0,8.65,corner_guard
SKU-002834,148.0,95.0,58.0,339.0,False,kavanoz,Flammable_Liquid-3,False,,,,
SKU-002835,163.0,74.0,41.0,482.0,False,poşet,Corrosive-8,True,203.0,96.0,7.42,bubble_wrap
SKU-002836,239.0,159.0,133.0,1549.0,False,metal_box,Corrosive-8,True,251.0,192.0,12.27,air_cushion
SKU-002837,292.0,262.0,34.0,305.0,False,kutu,Compressed_Gas-2,False,,,,
SKU-002838,99.0,107.0,104.0,251.0,True,plastic_box,UN3481-Lithium_Ion_Battery,True,147.0,128.0,7.32,corner_guard
SKU-002839,354.0,153.0,185.0,964.0,False,kavanoz,Aerosol-2,True,390.0,186.0,15.38,corner_guard
SKU-002840,394.0,207.0,31.0,1236.0,True,kavanoz,Corrosive-8,True,422.0,227.0,19.77,double_carton
SKU-002841,155.0,83.0,43.0,334.0,True,poşet,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002842,358.0,241.0,75.0,511.0,False,zarf,Compressed_Gas-2,True,372.0,268.0,19.49,bubble_wrap
SKU-002843,306.0,210.0,54.0,293.0,False,kavanoz,Aerosol-2,True,333.0,220.0,16.67,air_cushion
SKU-002844,336.0,177.0,41.0,368.0,False,poşet,Compressed_Gas-2,True,357.0,216.0,17.69,stretch_film
SKU-002845,130.0,109.0,167.0,1203.0,True,kavanoz,Flammable_Liquid-3,True,151.0,144.0,8.93,air_cushion
SKU-002846,158.0,88.0,55.0,297.0,True,zarf,Flammable_Liquid-3,False,,,,
SKU-002847,237.0,173.0,40.0,719.0,False,plastic_box,Corrosive-8,False,,,,
SKU-002848,391.0,235.0,28.0,1022.0,True,plastic_box,Corrosive-8,True,422.0,260.0,22.67,double_carton
SKU-002849,133.0,107.0,167.0,1477.0,False,kutu,,False,,,,
SKU-002850,209.0,209.0,72.0,541.0,False,poşet,Flammable_Liquid-3,False,,,,
SKU-002851,267.0,181.0,18.0,318.0,False,zarf,Corrosive-8,True,284.0,200.0,13.49,corner_guard
SKU-002852,253.0,258.0,160.0,689.0,True,metal_box,Aerosol-2,False,,,,
SKU-002853,271.0,246.0,236.0,354.0,False,poşet,Corrosive-8,True,308.0,256.0,16.33,foam_protector
SKU-002854,354.0,256.0,92.0,2411.0,False,kutu,Flammable_Liquid-3,True,381.0,278.0,20.62,air_cushion
SKU-002855,119.0,120.0,162.0,1385.0,False,metal_box,Aerosol-2,False,,,,
SKU-002856,323.0,163.0,240.0,746.0,False,poşet,Flammable_Liquid-3,True,349.0,201.0,15.02,foam_protector
SKU-002857,273.0,213.0,237.0,930.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-002858,103.0,100.0,78.0,347.0,True,poşet,UN3481-Lithium_Ion_Battery,True,125.0,131.0,8.01,foam_protector
SKU-002859,277.0,208.0,183.0,285.0,True,cardboard_box,Aerosol-2,True,296.0,233.0,14.91,air_cushion
SKU-002860,237.0,176.0,59.0,391.0,False,cardboard_box,Compressed_Gas-2,False,,,,
SKU-002861,322.0,371.0,105.0,1550.0,False,kutu,Corrosive-8,True,361.0,406.0,26.48,bubble_wrap
SKU-002862,94.0,126.0,127.0,242.0,False,metal_box,Flammable_Liquid-3,True,135.0,158.0,7.75,stretch_film
SKU-002863,272.0,191.0,192.0,1580.0,False,plastic_box,Compressed_Gas-2,True,300.0,229.0,15.96,foam_protector
SKU-002864,138.0,110.0,106.0,355.0,False,cardboard_box,UN3481-Lithium_Ion_Battery,True,171.0,153.0,8.85,double_carton
SKU-002865,203.0,93.0,39.0,383.0,True,cardboard_box,Compressed_Gas-2,True,239.0,123.0,8.91,air_cushion
SKU-002866,230.0,172.0,21.0,509.0,False,poşet,Compressed_Gas-2,True,273.0,204.0,13.78,corner_guard
SKU-002867,365.0,295.0,107.0,2360.0,False,kutu,Flammable_Liquid-3,False,,,,
SKU-002868,318.0,206.0,128.0,1065.0,False,zarf,UN3481-Lithium_Ion_Battery,True,340.0,233.0,16.38,foam_protector
SKU-002869,306.0,233.0,65.0,756.0,False,metal_box,Corrosive-8,True,349.0,268.0,20.95,corner_guard
SKU-002870,150.0,59.0,54.0,673.0,False,cardboard_box,Aerosol-2,False,,,,
SKU-002871,328.0,218.0,64.0,677.0,False,cardboard_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002872,116.0,101.0,169.0,1207.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-002873,166.0,79.0,70.0,555.0,False,plastic_box,Flammable_Liquid-3,False,,,,
SKU-002874,357.0,289.0,26.0,1528.0,True,metal_box,Aerosol-2,True,392.0,329.0,23.85,air_cushion
SKU-002875,337.0,258.0,85.0,2113.0,False,metal_box,Flammable_Liquid-3,False,,,,
SKU-002876,105.0,105.0,180.0,1119.0,False,zarf,Compressed_Gas-2,False,,,,
SKU-002877,116.0,119.0,168.0,1331.0,False,metal_box,Aerosol-2,False,,,,
SKU-002878,209.0,191.0,59.0,408.0,False,kavanoz,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002879,342.0,246.0,21.0,1415.0,True,plastic_box,UN3481-Lithium_Ion_Battery,True,362.0,280.0,19.9,stretch_film
SKU-002880,292.0,157.0,24.0,726.0,False,poşet,Aerosol-2,False,,,,
SKU-002881,253.0,228.0,41.0,476.0,False,metal_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002882,398.0,256.0,94.0,2594.0,True,cardboard_box,Compressed_Gas-2,True,422.0,269.0,21.95,corner_guard
SKU-002883,351.0,212.0,210.0,586.0,False,kutu,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002884,111.0,103.0,178.0,1148.0,True,kutu,Flammable_Liquid-3,True,158.0,121.0,7.37,stretch_film
SKU-002885,291.0,192.0,61.0,499.0,False,metal_box,Flammable_Liquid-3,False,,,,
SKU-002886,355.0,213.0,175.0,604.0,False,zarf,Compressed_Gas-2,False,,,,
SKU-002887,232.0,178.0,42.0,735.0,False,plastic_box,Corrosive-8,False,,,,
SKU-002888,382.0,261.0,103.0,2500.0,False,plastic_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002889,276.0,225.0,36.0,1446.0,False,poşet,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002890,250.0,168.0,35.0,703.0,True,kutu,UN3481-Lithium_Ion_Battery,True,260.0,195.0,12.1,foam_protector
SKU-002891,107.0,125.0,174.0,1530.0,False,kavanoz,UN3481-Lithium_Ion_Battery,True,130.0,169.0,7.8,bubble_wrap
SKU-002892,243.0,113.0,169.0,869.0,False,kutu,,True,277.0,131.0,9.94,air_cushion
SKU-002893,199.0,243.0,30.0,494.0,False,plastic_box,Compressed_Gas-2,False,,,,
SKU-002894,116.0,123.0,174.0,948.0,False,kutu,Compressed_Gas-2,True,152.0,163.0,8.22,air_cushion
SKU-002895,124.0,143.0,66.0,487.0,False,metal_box,Flammable_Liquid-3,True,141.0,166.0,8.01,foam_protector
SKU-002896,85.0,112.0,108.0,529.0,False,metal_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002897,183.0,155.0,30.0,220.0,False,zarf,Corrosive-8,False,,,,
SKU-002898,258.0,208.0,215.0,1096.0,False,cardboard_box,Aerosol-2,True,291.0,240.0,14.98,double_carton
SKU-002899,301.0,241.0,138.0,1407.0,False,cardboard_box,Flammable_Liquid-3,False,,,,
SKU-002900,296.0,221.0,42.0,487.0,False,kavanoz,Corrosive-8,True,313.0,243.0,17.33,air_cushion
SKU-002901,238.0,147.0,35.0,832.0,False,poşet,Compressed_Gas-2,True,263.0,179.0,12.33,foam_protector
SKU-002902,156.0,92.0,56.0,434.0,True,zarf,Aerosol-2,True,188.0,102.0,7.38,bubble_wrap
SKU-002903,162.0,88.0,43.0,570.0,False,zarf,Corrosive-8,True,189.0,106.0,7.51,air_cushion
SKU-002904,231.0,158.0,187.0,908.0,False,kavanoz,Corrosive-8,True,256.0,201.0,12.3,stretch_film
SKU-002905,104.0,108.0,178.0,1792.0,False,metal_box,Flammable_Liquid-3,False,,,,
SKU-002906,325.0,207.0,128.0,619.0,False,zarf,UN3481-Lithium_Ion_Battery,True,350.0,240.0,17.43,bubble_wrap
SKU-002907,340.0,253.0,32.0,1101.0,False,plastic_box,UN3481-Lithium_Ion_Battery,True,369.0,280.0,20.0,stretch_film
SKU-002908,242.0,145.0,35.0,578.0,False,zarf,Flammable_Liquid-3,False,,,,
SKU-002909,251.0,140.0,30.0,650.0,True,kavanoz,Compressed_Gas-2,True,286.0,162.0,13.09,double_carton
SKU-002910,145.0,101.0,129.0,381.0,True,plastic_box,,True,173.0,116.0,9.98,stretch_film
SKU-002911,315.0,188.0,131.0,660.0,False,cardboard_box,Corrosive-8,False,,,,
SKU-002912,178.0,98.0,71.0,416.0,True,cardboard_box,Flammable_Liquid-3,True,223.0,113.0,9.2,air_cushion
SKU-002913,267.0,152.0,26.0,502.0,True,cardboard_box,Flammable_Liquid-3,True,299.0,193.0,14.69,corner_guard
SKU-002914,310.0,228.0,58.0,556.0,False,cardboard_box,Aerosol-2,True,356.0,271.0,20.41,stretch_film
SKU-002915,356.0,250.0,123.0,1105.0,False,metal_box,Flammable_Liquid-3,True,378.0,282.0,22.61,foam_protector
SKU-002916,258.0,209.0,55.0,627.0,False,plastic_box,Flammable_Liquid-3,True,291.0,249.0,15.65,foam_protector
SKU-002917,374.0,262.0,75.0,1906.0,False,poşet,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002918,371.0,243.0,41.0,1932.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-002919,131.0,143.0,103.0,485.0,False,zarf,Corrosive-8,True,154.0,178.0,8.61,foam_protector
SKU-002920,104.0,100.0,157.0,913.0,True,metal_box,Flammable_Liquid-3,True,136.0,131.0,8.33,corner_guard
SKU-002921,260.0,378.0,145.0,1315.0,True,kavanoz,UN3481-Lithium_Ion_Battery,True,297.0,413.0,25.29,foam_protector
SKU-002922,244.0,210.0,205.0,906.0,False,plastic_box,Aerosol-2,True,267.0,252.0,14.59,stretch_film
SKU-002923,375.0,240.0,94.0,2295.0,True,kutu,Aerosol-2,True,413.0,262.0,22.23,foam_protector
SKU-002924,130.0,73.0,51.0,573.0,False,kutu,UN3481-Lithium_Ion_Battery,True,165.0,116.0,8.47,corner_guard
SKU-002925,395.0,165.0,44.0,1838.0,True,zarf,Flammable_Liquid-3,True,427.0,213.0,19.27,double_carton
SKU-002926,309.0,258.0,93.0,1621.0,False,kavanoz,Compressed_Gas-2,False,,,,
SKU-002927,294.0,186.0,182.0,300.0,False,kavanoz,UN3481-Lithium_Ion_Battery,True,329.0,215.0,15.13,corner_guard
SKU-002928,117.0,77.0,44.0,375.0,False,kutu,Flammable_Liquid-3,False,,,,
SKU-002929,221.0,184.0,216.0,956.0,False,kavanoz,Aerosol-2,False,,,,
SKU-002930,199.0,162.0,44.0,861.0,False,zarf,Flammable_Liquid-3,True,209.0,188.0,11.85,corner_guard
SKU-002931,275.0,219.0,65.0,572.0,False,poşet,Flammable_Liquid-3,False,,,,
SKU-002932,249.0,254.0,164.0,674.0,False,plastic_box,Aerosol-2,False,,,,
SKU-002933,245.0,214.0,77.0,442.0,False,kavanoz,Corrosive-8,True,281.0,246.0,14.87,corner_guard
SKU-002934,169.0,79.0,40.0,477.0,False,cardboard_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002935,294.0,254.0,54.0,764.0,False,poşet,UN3481-Lithium_Ion_Battery,True,324.0,266.0,18.02,bubble_wrap
SKU-002936,153.0,132.0,50.0,541.0,False,kavanoz,Aerosol-2,False,,,,
SKU-002937,142.0,91.0,49.0,462.0,True,kutu,Compressed_Gas-2,False,,,,
SKU-002938,317.0,311.0,83.0,1694.0,True,plastic_box,Compressed_Gas-2,False,,,,
SKU-002939,314.0,201.0,30.0,469.0,False,cardboard_box,Aerosol-2,False,,,,
SKU-002940,402.0,226.0,93.0,2446.0,True,poşet,Aerosol-2,True,431.0,236.0,21.58,corner_guard
SKU-002941,251.0,172.0,197.0,604.0,False,plastic_box,Flammable_Liquid-3,False,,,,
SKU-002942,144.0,112.0,230.0,674.0,False,cardboard_box,Compressed_Gas-2,True,171.0,147.0,8.27,bubble_wrap
SKU-002943,143.0,113.0,75.0,514.0,True,kutu,Compressed_Gas-2,True,173.0,130.0,9.78,stretch_film
SKU-002944,327.0,259.0,13.0,1871.0,True,metal_box,,False,,,,
SKU-002945,298.0,227.0,200.0,813.0,False,plastic_box,Aerosol-2,True,322.0,247.0,16.62,air_cushion
SKU-002946,96.0,132.0,131.0,281.0,False,cardboard_box,Aerosol-2,False,,,,
SKU-002947,366.0,283.0,94.0,2129.0,False,kavanoz,Compressed_Gas-2,False,,,,
SKU-002948,224.0,235.0,48.0,547.0,True,zarf,Corrosive-8,True,242.0,266.0,15.34,stretch_film
SKU-002949,288.0,245.0,30.0,1787.0,False,metal_box,Compressed_Gas-2,False,,,,
SKU-002950,123.0,87.0,111.0,297.0,True,zarf,UN3481-Lithium_Ion_Battery,True,135.0,120.0,8.25,bubble_wrap
SKU-002951,321.0,253.0,36.0,1420.0,False,cardboard_box,Aerosol-2,True,337.0,299.0,19.61,bubble_wrap
SKU-002952,258.0,167.0,34.0,637.0,False,kutu,Flammable_Liquid-3,False,,,,
SKU-002953,337.0,264.0,122.0,1039.0,False,metal_box,Corrosive-8,False,,,,
SKU-002954,116.0,126.0,160.0,1462.0,False,kavanoz,Aerosol-2,True,142.0,178.0,9.0,foam_protector
SKU-002955,293.0,267.0,48.0,392.0,False,metal_box,Aerosol-2,True,338.0,277.0,18.57,double_carton
SKU-002956,397.0,265.0,34.0,1797.0,False,plastic_box,UN3481-Lithium_Ion_Battery,True,427.0,295.0,23.39,double_carton
SKU-002957,188.0,191.0,40.0,862.0,False,kavanoz,Corrosive-8,True,212.0,232.0,12.93,corner_guard
SKU-002958,321.0,198.0,115.0,1272.0,False,plastic_box,Compressed_Gas-2,True,358.0,224.0,17.03,double_carton
SKU-002959,259.0,213.0,45.0,321.0,False,plastic_box,Corrosive-8,True,290.0,254.0,16.22,corner_guard
SKU-002960,315.0,214.0,120.0,831.0,False,kavanoz,Compressed_Gas-2,True,338.0,258.0,17.81,double_carton
SKU-002961,267.0,171.0,34.0,494.0,False,plastic_box,Corrosive-8,False,,,,
SKU-002962,287.0,144.0,198.0,503.0,False,cardboard_box,Flammable_Liquid-3,True,325.0,169.0,12.74,air_cushion
SKU-002963,313.0,154.0,111.0,1299.0,False,kutu,UN3481-Lithium_Ion_Battery,True,342.0,194.0,15.71,foam_protector
SKU-002964,166.0,106.0,48.0,486.0,False,plastic_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002965,150.0,144.0,60.0,380.0,False,plastic_box,Compressed_Gas-2,False,,,,
SKU-002966,129.0,92.0,42.0,512.0,False,kavanoz,Corrosive-8,True,167.0,129.0,7.73,bubble_wrap
SKU-002967,130.0,128.0,121.0,285.0,False,poşet,,False,,,,
SKU-002968,329.0,194.0,115.0,962.0,False,kavanoz,Flammable_Liquid-3,False,,,,
SKU-002969,178.0,84.0,47.0,372.0,False,kutu,Flammable_Liquid-3,True,210.0,109.0,7.93,double_carton
SKU-002970,147.0,145.0,126.0,424.0,False,poşet,Compressed_Gas-2,True,175.0,163.0,8.78,bubble_wrap
SKU-002971,154.0,75.0,39.0,323.0,False,kutu,,False,,,,
SKU-002972,133.0,130.0,119.0,163.0,True,plastic_box,Compressed_Gas-2,True,162.0,146.0,8.11,double_carton
SKU-002973,136.0,129.0,123.0,367.0,False,cardboard_box,Flammable_Liquid-3,True,178.0,166.0,10.39,double_carton
SKU-002974,221.0,208.0,191.0,803.0,True,poşet,Compressed_Gas-2,True,242.0,248.0,14.74,corner_guard
SKU-002975,321.0,206.0,44.0,761.0,False,cardboard_box,Flammable_Liquid-3,True,365.0,245.0,19.07,air_cushion
SKU-002976,249.0,265.0,177.0,1337.0,True,plastic_box,Corrosive-8,False,,,,
SKU-002977,185.0,91.0,60.0,682.0,False,zarf,Corrosive-8,False,,,,
SKU-002978,307.0,246.0,115.0,1217.0,False,kutu,Corrosive-8,True,333.0,289.0,18.94,double_carton
SKU-002979,170.0,87.0,42.0,373.0,False,poşet,Flammable_Liquid-3,False,,,,
SKU-002980,278.0,188.0,115.0,1269.0,False,zarf,Corrosive-8,False,,,,
SKU-002981,371.0,240.0,104.0,1831.0,False,zarf,Corrosive-8,True,390.0,268.0,20.18,air_cushion
SKU-002982,265.0,226.0,265.0,1286.0,False,metal_box,Corrosive-8,False,,,,
SKU-002983,109.0,102.0,168.0,1447.0,True,plastic_box,UN3481-Lithium_Ion_Battery,True,146.0,134.0,7.55,air_cushion
SKU-002984,298.0,169.0,169.0,905.0,False,metal_box,Compressed_Gas-2,True,332.0,191.0,14.75,corner_guard
SKU-002985,245.0,347.0,119.0,1366.0,False,metal_box,Corrosive-8,False,,,,
SKU-002986,235.0,206.0,64.0,660.0,False,cardboard_box,Compressed_Gas-2,True,278.0,242.0,15.24,air_cushion
SKU-002987,272.0,137.0,37.0,853.0,False,kutu,Compressed_Gas-2,True,321.0,204.0,15.65,double_carton
SKU-002988,234.0,178.0,219.0,1379.0,False,cardboard_box,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002989,337.0,233.0,106.0,838.0,False,kutu,UN3481-Lithium_Ion_Battery,False,,,,
SKU-002990,304.0,197.0,120.0,1155.0,False,kutu,Compressed_Gas-2,True,335.0,226.0,16.2,air_cushion
SKU-002991,317.0,190.0,115.0,822.0,False,zarf,Corrosive-8,False,,,,
SKU-002992,266.0,186.0,80.0,622.0,False,zarf,UN3481-Lithium_Ion_Battery,True,305.0,209.0,15.91,air_cushion
